epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
123,23304.9,1.30888,0.57016,0.00338,0.81032,0.85319,0.87236,0.51834,1.23232,0.69976,0.00474,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
124,23493.6,1.30608,0.5697,0.00337,0.80372,0.86028,0.87063,0.51763,1.23096,0.70218,0.00473,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
125,23682.5,1.30127,0.5701,0.00335,0.79309,0.8726,0.87093,0.51887,1.22961,0.70137,0.00473,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816
126,23871.4,1.2989,0.56899,0.00338,0.8091,0.85021,0.87064,0.51895,1.22919,0.70325,0.00473,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
127,24060.1,1.29307,0.57435,0.00332,0.80867,0.85301,0.87021,0.51886,1.228,0.7046,0.00472,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
128,24249,1.28919,0.56003,0.00329,0.78787,0.87861,0.86955,0.5182,1.22903,0.70356,0.00476,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618
129,24437.4,1.28834,0.5613,0.00327,0.78795,0.87516,0.86809,0.51827,1.22903,0.70236,0.00477,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552
130,24626.6,1.28067,0.55771,0.00328,0.78763,0.87628,0.86721,0.5175,1.22843,0.70401,0.00477,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
131,24815.6,1.28681,0.56005,0.00329,0.7871,0.87698,0.86801,0.51764,1.22825,0.70495,0.00474,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
132,25004.4,1.28018,0.55599,0.00332,0.79113,0.87388,0.86844,0.51732,1.22761,0.70428,0.00474,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354
